english,sinhala,tamil,combined_label,encoded_label
Bad,නරක,கேடு,Bad|නරක|கேடு,14
Beautiful,ලස්සන,அழகான,Beautiful|ලස්සන|அழகான,18
Careful,පරිස්සමින්,கவனமாக,Careful|පරිස්සමින්|கவனமாக,38
Cold,සීතල,குளிர்,Cold|සීතල|குளிர்,54
Deaf,බිහිරි,காது கேளாதவர்,Deaf|බිහිරි|காது கேளாதவர்,73
Deep,ගැඹුරු,ஆழமான,Deep|ගැඹුරු|ஆழமான,75
Different,වෙනස්,வேறுபட்ட,Different|වෙනස්|வேறுபட்ட,76
Difficult,අපහසු,சிரமமான,Difficult|අපහසු|சிரமமான,77
Double,දෙගුණ,இரட்டை,Double|දෙගුණ|இரட்டை,84
Fast,වේගවත්,வேகமான,Fast|වේගවත්|வேகமான,104
Fat,මහත,கொழுப்பு,Fat|මහත|கொழுப்பு,106
Free,නොමිලේ,இலவசம்,Free|නොමිලේ|இலவசம்,118
Good,හොඳ,நல்ல,Good|හොඳ|நல்ல,126
Happy,සතුට,சந்தோஷம்,Happy|සතුට|சந்தோஷம்,137
Hard,දැඩි,கடினம்,Hard|දැඩි|கடினம்,138
Healthy,සෞඛ්‍ය සම්පන්න,ஆரோக்கியம்,Healthy|සෞඛ්‍ය සම්පන්න|ஆரோக்கியம்,140
High,ඉහළ,உயரமான,High|ඉහළ|உயரமான,147
Independent,ස්වාධීන,சுயாதீன,Independent|ස්වාධීන|சுயாதீன,160
Less,පහළ,குறைவு,Less|පහළ|குறைவு,176
Loose,ලිහිල්,தளர்ந்த,Loose|ලිහිල්|தளர்ந்த,184
Low,අඩු,தாழ்ந்த,Low|අඩු|தாழ்ந்த,186
Next,ඊළඟ,அடுத்து,Next|ඊළඟ|அடுத்து,209
Nice,හොඳ,நன்றான,Nice|හොඳ|நன்றான,210
Not good,හොඳ නැහැ,நல்லதல்ல,Not good|හොඳ නැහැ|நல்லதல்ல,214
Old,පැරණි,பழைய,Old|පැරණි|பழைய,221
Past,අතීත,கடந்த,Past|අතීත|கடந்த,233
Positive,ධනාත්මක,நேர்மறை,Positive|ධනාත්මක|நேர்மறை,247
Present,වර්තමාන,தற்போது,Present|වර්තමාන|தற்போது,248
Quick,ඉක්මන්,விரைவான,Quick|ඉක්මන්|விரைவான,254
Rich,පොහොසත්,பணக்காரன்,Rich|පොහොසත්|பணக்காரன்,258
Same,එකම,அதே,Same|එකම|அதே,262
Senior,ජ්‍යෙෂ්ඨ,மூத்தவர்,Senior|ජ්‍යෙෂ්ඨ|மூத்தவர்,272
Small,කුඩා,சிறிய,Small|කුඩා|சிறிய,289
Soft,මෘදු,மென்மையான,Soft|මෘදු|மென்மையான,292
Strong,ශක්තිමත්,வலிமையான,Strong|ශක්තිමත්|வலிமையான,298
Thirsty,පිපාසය,தாகம்,Thirsty|පිපාසය|தாகம்,324
Tight,පටු,குறுகிய,Tight|පටු|குறுகிய,329
Ugly,කැතයි,அசிங்கமான,Ugly|කැතයි|அசிங்கமான,343
